HotelReviews,Labels,review_without_stopwords
"excellent staff and customer service, very clean and spotless. elegant and luxurious with a beautiful ocean view. the bed is very comfortable and relaxing. i give it a five star.
",deceptive,"excellent staff customer service, clean spotless. elegant luxurious beautiful ocean view. bed comfortable relaxing. give five star."
"my stay at this hotel was one of the best i have ever had! the location, service and accommodations were all outstanding!! the lobby area is beautiful as was my room. in the room there was more than enough space, which is difficult to find in chicago hotels. my only gripe was the room was a little dark. sure, staying at a small, upper-class hotel like the talbott involves paying a premium but it was well worth it. the service was timely and everyone seemed friendly and informed. the room service took a bit longer than i would have liked, however, the food was good quality. another nice touch was the gym pass provided for guests at the equinox fitness center. finally, the location is perfect!! it's located in a beautiful area of the city near the gold coast, which has many very good restaurants. a personal favorite of mine is mario's, a nice italian place nearby. overall, my experience at the hotel was good and while it had some minor flaws they were, for the most part, insignificant.
",deceptive,"stay hotel one best ever had! location, service accommodations outstanding!! lobby area beautiful room. room enough space, difficult find chicago hotels. gripe room little dark. sure, staying small, upper-class hotel like talbott involves paying premium well worth it. service timely everyone seemed friendly informed. room service took bit longer would liked, however, food good quality. another nice touch gym pass provided guests equinox fitness center. finally, location perfect!! located beautiful area city near gold coast, many good restaurants. personal favorite mine mario's, nice italian place nearby. overall, experience hotel good minor flaws were, part, insignificant."
"we just got back from a trip to chicago for my 30th birthday and we could not have been more impressed by this hotel! service was excellent, especially the maid service. our room was so clean and fresh towels brought in daily. the front desk staff was some of the most professional and friendly staff i have ever dealt with while travling. the location is excellent as it is within walking distance of the best restaurants and stores. i highly recommend affinia for a the perfect family vacation.
",deceptive,"got back trip chicago 30th birthday could impressed hotel! service excellent, especially maid service. room clean fresh towels brought daily. front desk staff professional friendly staff ever dealt travling. location excellent within walking distance best restaurants stores. highly recommend affinia perfect family vacation."
"i have to say that the hard rock hotel in chicago is a cool place to stay. when i first got there, getting checked in was very fast. the lady at the counter was nice and well spoken. the bellhop had out bags into the room very fast. the room was very hip and cool. there was musical items all over the place. i really loved the beatles art that was in my bathroom. after being in the room a few minutes, i got a call from the front desk asking me if i liked my room. they also asked me if i would be interested in things like spa treatments and or if i needed to use their business room. i needed some things shipped while i was there, which they had supplies to help me with that. after getting some work done, i called the concierge if there was some really good pizza places around. they gave me information for 3 awesome places. i left and came back after having a night out on the town. they were very understanding that i was a wee bit out of it. i had more than pizza that night if you get my drift. when i got back to my room, the bed was so comfortable. i feel right off to sleep and had a good nights sleep. in the morning i order breakfast, which was really a philly cheese steak. they will make anything you want anytime of day. i checked out by 9am with my bags feeling rested and very relaxed. thank you hard rock, you rock!
",deceptive,"say hard rock hotel chicago cool place stay. first got there, getting checked fast. lady counter nice well spoken. bellhop bags room fast. room hip cool. musical items place. really loved beatles art bathroom. room minutes, got call front desk asking liked room. also asked would interested things like spa treatments needed use business room. needed things shipped there, supplies help that. getting work done, called concierge really good pizza places around. gave information 3 awesome places. left came back night town. understanding wee bit it. pizza night get drift. got back room, bed comfortable. feel right sleep good nights sleep. morning order breakfast, really philly cheese steak. make anything want anytime day. checked 9am bags feeling rested relaxed. thank hard rock, rock!"
"my husband and i recently stayed at the hard rock hotel chicago and we can't wait to go back! the hotel is located in downtown chicago and seems to be at the heart of the city, we were close to everything. the hard rock hotel is forty stories high and the view from our room was simply breathtaking. the room itself was spotless and featured modern luxurious decor and furnishings. the bed was heavenly. the hotel staff was friendly, upbeat and extremely helpful, we asked for directions and restaurant recommendations and they were spot on with both. i highly recommend the hard rock hotel in chicago and i would stay there again in a heartbeat. 
",deceptive,"husband recently stayed hard rock hotel chicago can't wait go back! hotel located downtown chicago seems heart city, close everything. hard rock hotel forty stories high view room simply breathtaking. room spotless featured modern luxurious decor furnishings. bed heavenly. hotel staff friendly, upbeat extremely helpful, asked directions restaurant recommendations spot both. highly recommend hard rock hotel chicago would stay heartbeat."
"upon arriving to the hard rock hotel in chicago, i was immediately impressed. the staff was friendly and checked us in quickly, which is important to me after a long trip. our room was immaculate and decorated in a clean modern style. the bed was very comfortable, including the linens which felt high quality, unlike what you get at some other hotels. all this made for a great night sleep. perhaps the most impressive part of our stay at the hard rock hotel was their ""party like a rottweiler"" package we added to our reservation. for an additional fee we were able to bring our pet and were provided with treats, toys and best of all the pet cam! we left our dog in the room with a pet cam and were able to watch him throughout the day on my iphone! all in all this was a great place to stay and i'd highly recommend it to anyone who wants to travel with their pet.
",deceptive,"upon arriving hard rock hotel chicago, immediately impressed. staff friendly checked us quickly, important long trip. room immaculate decorated clean modern style. bed comfortable, including linens felt high quality, unlike get hotels. made great night sleep. perhaps impressive part stay hard rock hotel ""party like rottweiler"" package added reservation. additional fee able bring pet provided treats, toys best pet cam! left dog room pet cam able watch throughout day iphone! great place stay i'd highly recommend anyone wants travel pet."
"i just came back from this awesome, terrific hotel last week, and i have to say-- i loved it! my wife and i were there for a week due to a business meeting, and right when i stepped into the hotel, i knew that this business vacation will be well spent. the customer service was very great, and an employee even guided us toward our room! we were introduced to a fantastically lit room with 2 beds, a flat screen tv, and even free internet access. my wife loved it, and kept on using the free shampoo and body bath soap. when i headed down to the lobby for my conference, i got lost, and asked one of the people who worked there where my meeting might be held. he leaded me to the door, and i was very impressed. there is a fitness center which i went everyday, and this great restaurant called c-house situated nicely next to the hotel lobby, where i had a nice steak and my wife a salad. all in all, i thought that the trip was really worth it, and my stay was very welcoming at the affinia chicago. i highly recommend that whenever you visit chicago you should stay there, you will not regret it. 
",deceptive,"came back awesome, terrific hotel last week, say-- loved it! wife week due business meeting, right stepped hotel, knew business vacation well spent. customer service great, employee even guided us toward room! introduced fantastically lit room 2 beds, flat screen tv, even free internet access. wife loved it, kept using free shampoo body bath soap. headed lobby conference, got lost, asked one people worked meeting might held. leaded door, impressed. fitness center went everyday, great restaurant called c-house situated nicely next hotel lobby, nice steak wife salad. all, thought trip really worth it, stay welcoming affinia chicago. highly recommend whenever visit chicago stay there, regret it."
"i first walk into the beautifully decorated lobby of the affinia chicago hotel where i'm greeted by name by the concierge. he tells me that they have taken the liberty of customizing the room to my profile from when i booked the stay. he shows me to my room (paying careful attention to my bags, and ensuring that i needn't lift a finger) sure enough, the down pillow i had selcted from the dream pillow menu sits proudly atop the queen of the domain, which by the way is covered with the softest of bedspreads making me wonder if they didn't literally drag a cloud in here and fit it on my bed. i notice that there's a display of champagne and cupcakes (!) atop the dresser and my ""experience kit"" which comes complete with an ipod shuffle downloaded with only my favorite workout tracks, and a yoga mat. namaste. unable to resist the urge to inspect the bathroom, i find that not only is there a marble tiled invisible glass shower, but a jacuzzi, lined with candles of vanilla, deep enough to bathe a walrus. feeling girlish, i run the water and test before going to dinner. the hotel's restraunt c-house offers the most delicious seafood menu that makes you think you're dining with the kings of paradise. or at least eating in the caribbean itself. hmm, i should have brought a date.
",deceptive,"first walk beautifully decorated lobby affinia chicago hotel i'm greeted name concierge. tells taken liberty customizing room profile booked stay. shows room (paying careful attention bags, ensuring lift finger) sure enough, pillow selcted dream pillow menu sits proudly atop queen domain, way covered softest bedspreads making wonder literally drag cloud fit bed. notice there's display champagne cupcakes (!) atop dresser ""experience kit"" comes complete ipod shuffle downloaded favorite workout tracks, yoga mat. namaste. unable resist urge inspect bathroom, find marble tiled invisible glass shower, jacuzzi, lined candles vanilla, deep enough bathe walrus. feeling girlish, run water test going dinner. hotel's restraunt c-house offers delicious seafood menu makes think dining kings paradise. least eating caribbean itself. hmm, brought date."
"very luxurious and worth the money. if you are looking to relax and unwind in a great hotel then this is the one to choose. the staff was great and friendly. dont forget the 24 hour room service which is a great treat.
",deceptive,luxurious worth money. looking relax unwind great hotel one choose. staff great friendly. dont forget 24 hour room service great treat.
"i have to thank the ambassador east hotel for providing a really great experience for my family. we never leave our dog at home when we travel, and it's been a long time since we've been able to find a place of this caliber that allows pets. the staff even spent time cooing over how cute our dog is when we asked about local clothing boutiques. my husband liked the fitness room. it was nice and clean, with plenty of extra towels available. it was colder than we expected with the wind blowing in off the water, but the concierge knew exactly where we should go for jackets and scarves. we will definitely be staying here next time we visit chicago. we would make the trip just to stay here. that's how welcome we felt when we stayed at this hotel.
",deceptive,"thank ambassador east hotel providing really great experience family. never leave dog home travel, long time since we've able find place caliber allows pets. staff even spent time cooing cute dog asked local clothing boutiques. husband liked fitness room. nice clean, plenty extra towels available. colder expected wind blowing water, concierge knew exactly go jackets scarves. definitely staying next time visit chicago. would make trip stay here. that's welcome felt stayed hotel."
